social_soft_unjoint_eval_nloss
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,little3,4.4189,4.4189,1.5024,1.5024,3.3065,3.3065,0.66,0.03,1.2,0.53,2.8000000000000003,2.13,0.0,0.0,0.0,0.0,2.23,2.32
,nexus5,4.0029,4.0029,1.7357,1.7357,3.3503,3.3503,0.05,0.0,0.18,0.12,0.7100000000000001,0.63,0.0,0.0,0.0,0.0,17.37,17.39
,nexus6,1.854,1.854,1.0945,1.0945,2.2672,2.2672,0.69,0.0,0.88,0.19,1.7000000000000002,1.01,0.0,0.0,0.0,0.0,61.82,63.06
,quad0,4.9728,4.9728,1.8254,1.8254,3.8099,3.8099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,quad1,3.4931,3.4931,1.3773,1.3773,2.7671,2.7671,0.0,0.0,0.01,0.01,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0
,quad2,9.3775,9.3775,2.1385,2.1385,4.8303,4.8303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.729999999999999,15.07
,quad3,9.7929,9.7929,2.4026,2.4026,5.2902,5.2902,0.0,0.0,1.6199999999999999,1.43,2.34,2.33,0.0,0.0,0.0,0.0,12.5,12.5

,mean,4.298776470588235,4.298776470588235,1.4540529411764704,1.4540529411764704,3.156023529411765,3.156023529411765,0.44588235294117645,0.02176470588235294,1.1247058823529412,0.6829411764705882,3.1129411764705885,2.688823529411765,0.0,0.0,0.0,0.0,17.574117647058824,17.942941176470587
,std,2.5450357567185136,2.5450357567185136,0.45663952718251094,0.45663952718251094,1.0097567997990824,1.0097567997990824,0.3305086778878424,0.0289493054102689,0.7600473487344978,0.5912475813245627,2.5043063257138454,2.4400792715014554,0.0,0.0,0.0,0.0,20.978112419663535,21.491341010004575

social_soft_unjoint_final
,,loss,loss_unjoint,ade,ade_unjoint,fde,fde_unjoint,social_0.1,social_disjoint_0.1,social_0.5,social_disjoint_0.5,social_1.0,social_disjoint_1.0,dynamic_speed,dynamic_speed_disjoint,dynamic_acceleration,dynamic_acceleration_disjoint,spatial_joint,spatial_unjoint
,coupa0,4.7638,1.4728,1.6342,0.9164,3.1531,1.9316,0.26,0.01,1.03,0.7000000000000001,5.26,4.3999999999999995,0.0,0.0,0.0,0.0,11.33,11.95
,coupa1,3.7592,1.2404,1.5306,0.8362,2.9507,1.7728,0.26,0.01,1.1400000000000001,0.8500000000000001,6.22,4.5,0.0,0.0,0.0,0.0,10.37,10.2
,gates2,12.3543,4.684,2.7166,1.4734,5.2914,3.1348,0.8200000000000001,0.01,1.81,0.31,3.46,1.3299999999999998,0.0,0.0,0.0,0.0,23.799999999999997,24.4
,hyang0,11.6335,2.6743,2.9231,1.2326,5.6471,2.5827,0.54,0.02,1.43,0.42,2.88,1.35,0.0,0.0,0.0,0.0,10.31,11.16
,hyang1,13.4686,3.1393,2.8877,1.3567,5.4788,2.756,0.3,0.0,0.7799999999999999,0.26,1.78,1.23,0.0,0.0,0.0,0.0,11.04,11.84
,hyang3,5.5707,1.5113,1.9936,0.9577,3.8809,2.0091,0.59,0.01,1.3,0.36,2.86,1.5,0.0,0.0,0.0,0.0,36.7,37.79
,hyang8,2.6948,0.9144,1.3569,0.6985,2.6339,1.4579,0.52,0.05,2.02,1.01,4.61,2.9899999999999998,0.0,0.0,0.0,0.0,77.51,78.68
,little0,15.7466,5.3465,3.383,1.6546,6.4907,3.6285,0.48,0.03,1.34,0.41000000000000003,1.9800000000000002,1.05,0.0,0.0,0.0,0.0,1.5,1.39
